Date,A,ADBE,ADSK,AMAT,AVGO,AYI,AZO,BBBY,BBY,CAG,CASY,COO,COST,CPB,CPRT,CRM,CSCO,DCI,DG,DKS,DLTR,DRI,FDS,FDX,FL,GIS,GME,GPN,GPS,HD,HPQ,HRL,INTU,JBL,JWN,KMX,KR,KSS,LOW,M,MON,MSM,MTN,MU,NKE,NTAP,NVDA,ORCL,PANW,PAYX,PDCO,PVH,RAD,RHT,RPM,SJM,SNPS,STZ,THO,TJX,TTC,URBN,VMW,WDAY,WMT,WSM
2018-03-27,66.850777,213.800003,128.309998,55.439999,244.369995,135.81488,634.52002,20.25,67.739998,36.299999,107.18,225.089996,183.149994,42.344612,49.990002,113.809998,42.339634,44.07,92.147758,34.169998,93.629997,83.609146,201.729996,234.639999,43.751255,44.821724,13.88,111.120003,30.273365,174.679993,21.77,33.390144,172.847046,28.639999,47.369999,59.75,23.469999,62.799999,85.959999,27.860001,117.036163,88.816734,222.830002,52.400002,66.169998,60.992962,225.520004,45.192886,179.440002,59.84,21.449411,143.160004,1.48,154.419998,46.992607,122.410004,82.889999,218.470001,112.169998,80.440002,60.221115,36.139999,123.370003,126.440002,86.050003,51.400002
2018-03-28,66.252113,212.539993,124.550003,54.060001,236.679993,136.873825,637.25,20.610001,68.559998,36.32,107.449997,225.149994,183.610001,43.058784,49.830002,112.879997,41.327766,43.709999,92.656197,34.330002,93.910004,83.767982,198.440002,234.800003,44.415806,43.872066,14.15,110.080002,30.650293,174.759995,21.690001,33.479664,170.53244,28.24,47.900002,60.639999,23.620001,64.559998,85.879997,29.07,116.209999,89.541969,223.729996,51.490002,65.440002,59.278503,221.350006,44.794537,176.899994,60.599998,22.042757,144.020004,1.67,146.199997,47.101894,123.300003,82.300003,220.490005,112.389999,80.690002,60.260986,36.380001,119.949997,123.769997,87.769997,51.84
2018-03-29,66.750999,216.080002,125.580002,55.610001,235.649994,139.051666,648.690002,20.99,69.989998,36.880001,109.769997,228.809998,188.429993,42.959599,50.93,116.300003,42.547958,45.049999,93.264336,35.049999,94.900002,84.631676,199.419998,240.110001,45.169628,44.574421,12.62,111.519997,30.947868,178.240005,21.92,34.136127,172.946823,28.73,48.41,61.939999,23.940001,65.510002,87.75,29.74,116.150284,91.111664,221.699997,52.139999,66.440002,61.491352,231.589996,45.561359,181.520004,61.59,21.983421,151.429993,1.68,149.509995,47.360203,124.010002,83.239998,227.919998,115.169998,81.559998,62.244434,36.959999,121.269997,127.110001,88.970001,52.759998
2018-04-02,64.43,212.279999,122.75,52.889999,227.679993,136.534164,613.150024,20.24,68.919998,35.889999,109.199997,221.669998,182.75,41.908173,49.799999,115.300003,40.682949,43.639999,93.144699,33.419998,94.400002,83.460236,196.149994,238.5,43.463615,43.614872,12.82,109.190002,30.501505,172.899994,21.139999,33.310574,169.484894,27.959999,47.529999,59.919998,23.280001,62.68,84.589996,29.07,116.060692,87.90274,219.270004,50.060001,64.120003,58.969501,221.050003,44.824409,180.139999,60.32,21.162628,150.919998,1.63,144.820007,46.615078,119.769997,80.769997,228.160004,109.480003,80.559998,60.559998,36.91,120.480003,125.239998,85.550003,49.759998
2018-04-03,65.419998,215.929993,124.839996,53.98,236.779999,134.646042,619.22998,20.6,70.339996,36.18,109.139999,221.309998,182.610001,41.937927,50.32,116.489998,41.050003,44.130001,93.025063,33.810001,94.879997,83.946678,198.039993,241.039993,45.467186,43.822609,13.01,109.650002,30.93795,173.759995,21.32,34.036663,170.073517,28.35,48.200001,59.959999,23.59,63.66,85.449997,28.99,116.458847,89.243935,222.949997,51.549999,66.699997,60.434769,225.350006,44.704906,184.369995,61.02,21.390076,155.160004,1.65,147.259995,47.151569,121.720001,81.639999,225.089996,109.559998,82.330002,61.610001,36.919998,119.870003,125.010002,86.800003,50.02
2018-04-04,65.449997,225.050003,127.5,55.560001,236.990005,129.351303,628.650024,21.5,72.860001,37.009998,109.580002,221.210007,185.520004,42.880241,50.66,119.480003,41.200001,44.369999,94.709908,35.139999,97.559998,86.210144,195.979996,238.759995,47.401329,44.881077,13.34,110.419998,31.622372,177.440002,21.540001,35.677822,172.647522,28.48,49.419998,62.73,24.08,65.510002,88.059998,30.09,116.209999,90.386429,225.630005,53.389999,68.419998,61.91,226.240005,45.32235,189.240005,61.810001,21.79553,155.410004,1.62,151.820007,47.350269,123.699997,82.739998,226.449997,111.75,83.970001,62.060001,37.060001,121.830002,126.040001,87.220001,51.220001
2018-04-05,65.68,223.539993,128.020004,54.290001,236.309998,133.077606,637.380005,21.540001,72.120003,36.810001,107.639999,223.550003,186.25,43.12822,50.75,119.040001,41.82,44.799999,96.105637,35.57,99.0,86.041374,196.75,241.070007,47.520351,44.94043,13.56,111.370003,31.751322,179.130005,21.549999,34.921894,171.430359,28.57,50.07,62.240002,23.809999,66.910004,88.75,30.93,118.050003,92.631683,228.910004,49.84,69.589996,62.900002,221.380005,45.770493,196.399994,62.139999,22.11198,159.509995,1.65,151.070007,48.403381,124.0,82.959999,229.929993,115.199997,84.959999,62.169998,38.549999,121.809998,126.0,87.809998,51.98
2018-04-06,63.650002,218.610001,125.75,52.34,228.869995,131.698975,620.359985,21.0,70.489998,36.740002,107.18,217.979996,183.960007,43.376198,49.66,116.099998,40.73,43.93,94.68,33.759998,98.720001,86.230003,193.649994,234.289993,46.082142,44.98,13.43,108.769997,30.590778,174.449997,20.780001,34.742859,167.289993,27.950001,48.029999,60.299999,23.77,64.0,88.239998,29.799999,117.860001,91.399773,223.869995,48.459999,67.550003,63.110001,214.25,44.645157,193.839996,60.720001,22.596546,156.729996,1.61,149.169998,46.793907,123.940002,81.389999,227.190002,112.970001,83.440002,60.509998,38.540001,118.650002,122.580002,86.690002,50.299999
2018-04-09,65.190002,219.169998,127.57,53.02,234.740005,129.331329,615.099976,20.82,69.82,36.77,107.419998,219.830002,184.410004,42.91,49.889999,117.190002,41.169998,43.759998,95.699997,34.18,98.739998,86.550003,195.610001,234.320007,45.239056,44.950001,13.48,108.480003,29.827,172.509995,20.889999,35.200394,169.389999,27.9,48.029999,58.77,23.540001,63.43,85.239998,29.15,125.150002,91.141464,225.110001,47.959999,67.18,63.580002,215.410004,44.714867,187.919998,60.939999,22.270206,155.589996,1.61,151.330002,47.548969,125.110001,81.75,226.210007,111.989998,82.610001,59.93,37.880001,120.470001,123.290001,86.279999,49.450001
2018-04-10,66.639999,224.529999,131.729996,54.799999,239.75,130.040619,616.679993,21.23,71.720001,36.849998,107.519997,223.339996,183.550003,42.59,50.599998,119.489998,42.509998,44.57,96.440002,34.57,99.07,86.589996,197.990005,238.0,46.260681,44.509998,13.68,110.690002,30.780001,173.490005,21.75,35.150661,171.309998,28.57,49.470001,60.82,23.459999,63.639999,87.139999,29.299999,125.010002,91.211014,227.270004,50.48,67.0,66.059998,227.910004,45.631073,186.820007,61.970001,22.853662,157.949997,1.65,156.75,48.393444,124.389999,82.629997,226.070007,111.230003,82.370003,61.139999,38.580002,121.75,126.5,86.449997,50.48
2018-04-11,66.080002,223.630005,130.940002,54.950001,240.320007,129.780884,615.960022,21.5,70.910004,36.740002,107.419998,220.610001,184.649994,42.84,50.419998,119.160004,42.43,44.360001,96.269997,35.060001,98.25,86.5,196.779999,238.0,45.734989,44.869999,13.84,108.699997,30.549999,172.860001,21.59,35.170555,171.589996,28.74,49.009998,60.5,23.48,63.380001,86.650002,29.07,125.199997,87.594757,227.949997,50.48,66.830002,66.139999,226.240005,45.42194,186.990005,61.669998,23.18,158.009995,1.64,156.399994,48.46299,123.610001,83.160004,225.449997,110.660004,82.050003,59.98,38.23,121.489998,126.629997,85.910004,50.16
2018-04-12,67.199997,226.960007,132.169998,56.43,239.429993,131.049606,616.51001,17.209999,71.300003,36.779999,107.040001,221.020004,188.820007,42.669998,50.84,121.400002,43.34,44.529999,96.889999,34.779999,98.099998,86.849998,198.410004,241.910004,45.556454,44.580002,13.63,109.559998,30.639999,173.360001,21.940001,34.902,173.630005,29.17,48.369999,61.0,23.6,63.060001,87.040001,28.9,125.309998,90.028778,225.869995,52.59,67.769997,67.57,234.600006,45.690826,190.479996,61.650002,22.860001,162.25,1.63,159.199997,48.910065,122.639999,84.480003,224.220001,108.519997,82.529999,60.369999,38.98,122.150002,128.229996,85.43,48.869999
2018-04-13,67.209999,224.059998,129.169998,56.07,246.940002,130.669998,606.830017,17.280001,71.129997,36.799999,101.57,221.369995,188.910004,42.450001,50.389999,119.010002,43.0,44.540001,96.279999,32.860001,97.129997,87.720001,197.479996,244.490005,44.832394,44.799999,13.61,109.93,30.049999,172.800003,21.77,35.040001,171.990005,29.23,47.389999,61.720001,23.73,61.34,86.230003,28.26,125.400002,88.32,223.419998,52.23,67.25,67.470001,231.5,45.890003,187.380005,61.490002,22.889999,159.130005,1.68,157.710007,48.920002,122.849998,83.82,223.889999,107.550003,81.260002,60.509998,38.939999,121.339996,124.709999,86.019997,48.049999
2018-04-16,68.169998,226.520004,129.720001,56.869999,249.369995,130.520004,604.359985,17.49,71.910004,37.209999,101.860001,228.0,194.580002,42.810001,50.330002,119.410004,43.299999,45.139999,97.07,32.150002,97.550003,88.949997,196.339996,250.029999,42.997437,45.240002,13.81,110.440002,30.16,174.429993,21.85,35.439999,175.300003,29.209999,47.849998,62.0,24.17,62.07,86.059998,28.74,125.699997,89.510002,225.470001,51.650002,67.059998,68.269997,231.490005,46.049999,189.020004,62.240002,23.34,160.429993,1.71,160.529999,49.830002,120.949997,84.480003,227.020004,104.879997,82.739998,60.860001,39.610001,127.760002,126.830002,86.839996,48.419998
2018-04-17,68.440002,231.160004,132.580002,57.860001,251.740005,132.029999,605.359985,17.48,72.75,37.509998,101.860001,227.339996,196.0,42.529999,51.299999,123.349998,44.59,45.400002,99.870003,31.52,98.870003,89.419998,196.529999,252.0,42.025406,45.259998,13.94,111.910004,30.540001,174.910004,22.049999,35.419998,181.0,29.42,47.150002,62.970001,24.23,61.77,86.160004,28.940001,125.449997,89.300003,228.860001,52.259998,67.510002,69.550003,237.539993,46.66,191.899994,61.130001,23.48,161.270004,1.71,162.229996,50.16,120.550003,86.199997,231.399994,104.190002,83.449997,60.82,39.360001,131.880005,132.570007,87.900002,48.759998
2018-04-18,69.550003,231.100006,133.869995,54.73,249.589996,131.259995,608.530029,18.120001,75.400002,37.169998,101.849998,226.990005,196.509995,41.84,51.830002,124.459999,44.630001,45.709999,100.18,31.950001,100.519997,89.760002,196.210007,255.529999,42.075001,44.73,13.66,112.559998,29.540001,179.850006,22.030001,35.540001,181.190002,29.360001,47.279999,63.27,24.58,61.189999,86.410004,29.4,124.949997,90.730003,226.759995,54.009998,66.199997,69.220001,236.369995,47.080002,192.470001,61.029999,23.57,161.009995,1.65,161.669998,50.299999,120.18,85.690002,232.160004,105.160004,83.18,62.009998,39.68,137.539993,132.600006,87.57,49.59
2018-04-19,67.970001,227.619995,132.330002,51.189999,242.860001,128.789993,603.820007,17.700001,73.339996,36.66,101.459999,225.220001,195.070007,41.27,51.860001,124.059998,44.560001,45.540001,99.0,31.41,98.900002,89.760002,194.449997,251.589996,41.639999,44.029999,13.52,112.339996,29.549999,177.080002,21.66,35.400002,179.410004,28.370001,46.720001,62.57,24.18,60.119999,84.879997,29.41,124.599998,89.529999,231.619995,51.419998,65.730003,69.010002,229.039993,46.82,192.020004,60.93,22.559999,160.360001,1.6,160.139999,49.099998,117.040001,84.139999,229.619995,102.349998,82.639999,61.599998,39.439999,135.589996,131.970001,87.889999,49.27
2018-04-20,67.550003,225.240005,130.089996,51.09,237.119995,127.93,595.840027,17.139999,72.300003,36.43,100.769997,225.119995,193.559998,40.360001,51.5,122.82,44.09,45.549999,96.339996,31.66,97.559998,91.050003,192.580002,247.119995,40.880001,43.41,12.88,111.279999,28.440001,177.009995,21.530001,35.450001,178.130005,27.940001,46.779999,61.16,24.120001,58.380001,83.620003,29.959999,125.0,88.059998,231.360001,50.619999,66.089996,68.660004,228.710007,46.23,192.070007,60.34,22.33,159.479996,1.58,159.279999,48.950001,114.919998,83.010002,227.580002,101.660004,82.480003,60.919998,38.349998,136.050003,130.529999,86.980003,48.970001
2018-04-23,68.07,225.300003,129.179993,50.18,233.449997,128.820007,599.469971,17.360001,73.5,36.5,98.18,225.559998,193.350006,40.84,51.939999,121.889999,44.25,45.509998,97.010002,32.48,97.510002,91.050003,191.779999,248.820007,41.209999,44.560001,13.2,110.25,28.780001,177.660004,21.379999,35.77,180.300003,27.26,48.150002,61.360001,24.790001,59.630001,84.349998,30.459999,125.050003,88.400002,233.440002,49.02,66.879997,68.349998,223.880005,45.799999,192.270004,59.849998,22.790001,160.259995,1.55,160.630005,49.130001,114.57,82.599998,228.259995,101.519997,83.230003,61.099998,38.830002,135.020004,129.830002,86.099998,49.139999
